WormBase_ID,Chr,Gene,Tajima's D,Normalized Pi,Fay and Wu's H
WBGene00000071,V,acy-4,-0.8852,0.0002,-0.4373
WBGene00000072,X,add-1,-2.1982,0.0002,0.3533
WBGene00000073,V,add-2,-1.2147,0.0003,-4.7433
WBGene00000074,X,adm-2,-0.4301,0.0005,-1.4402
WBGene00000075,X,adm-4,-1.0806,0.0001,0.2508
WBGene00000079,I,adr-1,-1.0545,0.0001,-1.7462
WBGene00000080,III,adr-2,-1.0673,0.0004,-2.8243
WBGene00000081,III,ads-1,-0.3659,0.0004,-0.6789
WBGene00000082,X,adt-1,-0.7112,0.0007,-8.1482
WBGene00000083,X,adt-2,-1.7145,0.0000,-1.9336
WBGene00000084,I,aex-1,-1.7897,0.0001,-3.8029
WBGene00000085,X,aex-2,-0.7428,0.0000,0.0240
WBGene00000086,X,aex-3,-0.8392,0.0003,-5.1849
WBGene00000088,I,aex-5,-0.8547,0.0009,-8.1518
WBGene00000089,I,aex-6,-0.8400,0.0000,0.0081
WBGene00000090,II,age-1,-1.5856,0.0005,-6.4467
WBGene00000092,X,ags-3,-1.8972,0.0001,-1.8346
WBGene00000093,IV,agt-1,NA,0.0000,0.0000
WBGene00000094,II,agt-2,-0.3524,0.0009,-3.4394
WBGene00000095,I,aha-1,-1.1407,0.0000,-1.9714
WBGene00000096,I,ahr-1,-1.2539,0.0005,-5.5270
WBGene00000097,V,aip-1,-1.6239,0.0001,-1.9469
WBGene00000098,V,air-1,-1.1897,0.0001,-1.9162
WBGene00000099,I,air-2,-0.8394,0.0000,0.0082
WBGene00000100,X,ajm-1,-1.9687,0.0002,-8.1392
WBGene00000101,II,aka-1,-1.3823,0.0003,-1.3591
WBGene00000102,V,akt-1,-1.3450,0.0000,0.0246
WBGene00000103,X,akt-2,-0.2072,0.0010,-2.9389
WBGene00000105,X,alg-1,-1.6572,0.0000,-1.9064
WBGene00000106,II,alg-2,-1.3427,0.0001,-1.6236
WBGene00000107,III,alh-1,-1.5481,0.0000,-1.9148
WBGene00000108,V,alh-2,1.1131,0.0048,-5.9879
WBGene00000109,IV,alh-3,-1.0728,0.0000,0.0327
WBGene00000110,V,alh-4,-1.0058,0.0003,-2.5974
WBGene00000111,V,alh-5,-0.9449,0.0009,-4.2445
WBGene00000112,II,alh-6,0.2719,0.0016,-0.7815
WBGene00000113,II,alh-7,-0.0609,0.0010,-4.0475
WBGene00000114,II,alh-8,-0.8933,0.0001,0.1567
WBGene00000115,III,alh-9,-0.8398,0.0000,0.0082
WBGene00000116,X,alh-10,-1.3243,0.0004,-2.1237
WBGene00000117,III,alh-11,-1.4691,0.0007,-8.0881
WBGene00000118,III,alh-12,-0.9673,0.0004,0.3191
WBGene00000120,IV,aly-1,-0.7912,0.0000,0.0162
WBGene00000121,IV,aly-2,-1.0917,0.0003,-1.7089
WBGene00000122,IV,aly-3,-1.1407,0.0000,-1.9714
WBGene00000123,IV,ama-1,-0.5822,0.0001,0.2765
WBGene00000133,X,amt-1,-0.7418,0.0008,-8.3019
WBGene00000134,IV,amt-2,-1.1660,0.0002,-1.7122
WBGene00000135,II,amt-3,NA,0.0000,0.0000
WBGene00000136,X,amt-4,-1.0382,0.0003,-4.5176
WBGene00000137,III,amx-1,-1.3299,0.0002,-3.0721
WBGene00000138,I,amx-2,-0.0394,0.0020,-2.0519
WBGene00000139,V,amx-3,-1.9304,0.0002,-5.4280
WBGene00000140,I,anc-1,-2.0189,0.0001,-15.4024
WBGene00000142,V,aos-1,NA,0.0000,0.0000
WBGene00000143,III,apc-2,-0.6552,0.0001,-5.2788
WBGene00000144,V,apc-10,-1.7499,0.0001,-3.8860
WBGene00000145,III,apc-11,-1.3457,0.0001,-1.9632
WBGene00000146,V,ape-1,-1.5282,0.0002,-1.2369
WBGene00000147,I,aph-1,-1.3449,0.0000,0.0247
WBGene00000148,I,aph-2,-1.9449,0.0001,0.1669
WBGene00000149,X,apl-1,-1.5689,0.0003,-5.0733
WBGene00000150,I,apm-1,-1.3455,0.0000,0.0245
WBGene00000151,II,apn-1,-1.2219,0.0001,0.1321
WBGene00000155,I,app-1,-1.1656,0.0000,-1.9086
WBGene00000156,I,Apr-01,-1.6765,0.0001,0.4376
WBGene00000157,X,aps-2,-0.8398,0.0000,0.0082
WBGene00000158,I,apg-1,-1.2670,0.0000,0.0486
WBGene00000159,V,aps-1,NA,0.0000,0.0000
WBGene00000160,III,apb-1,-1.4214,0.0002,-4.2176
WBGene00000161,X,apa-2,-1.3518,0.0000,0.0858
WBGene00000162,II,apd-3,-1.5985,0.0003,0.3502
WBGene00000163,I,apb-3,-1.4922,0.0002,-0.8059
WBGene00000164,X,apm-3,-0.8398,0.0000,0.0082
WBGene00000165,I,aps-3,-0.8398,0.0000,0.0082
WBGene00000166,X,apt-9,-1.2595,0.0006,0.9512
WBGene00000168,V,apx-1,-1.0299,0.0008,-3.0370
WBGene00000169,II,aqp-1,-1.2175,0.0001,0.0632
WBGene00000170,II,aqp-2,-1.0073,0.0001,0.0483
WBGene00000171,IV,aqp-3,-1.3196,0.0000,-1.9552
WBGene00000172,V,aqp-4,-0.4090,0.0002,-1.4310
WBGene00000173,V,aqp-5,-1.4559,0.0001,0.0490
WBGene00000174,V,aqp-6,-0.8596,0.0005,-2.8559
WBGene00000175,X,aqp-7,-1.4994,0.0000,0.0330
WBGene00000176,X,aqp-8,-1.1068,0.0000,0.0245
WBGene00000177,I,aqp-9,-0.8514,0.0003,-1.2830
WBGene00000178,II,aqp-10,-1.4954,0.0003,-1.5080
WBGene00000179,III,aqp-11,-1.4788,0.0000,-1.9471
WBGene00000180,II,arc-1,-0.6079,0.0004,-4.0540
WBGene00000181,IV,ard-1,-0.7422,0.0000,0.0241
WBGene00000182,III,arf-1.2,NA,0.0000,0.0000
WBGene00000183,IV,arf-3,NA,0.0000,0.0000
WBGene00000184,IV,arf-6,-0.8400,0.0000,0.0081
WBGene00000185,X,arg-1,-1.6424,0.0004,-1.5417
WBGene00000186,IV,ark-1,-1.1663,0.0003,-3.3965
WBGene00000187,II,arl-1,NA,0.0000,0.0000
WBGene00000188,II,arl-3,-0.3701,0.0002,0.0822
WBGene00000189,III,arl-5,-0.8398,0.0000,0.0082
WBGene00000190,IV,arf-1.1,-0.8398,0.0000,0.0082
WBGene00000192,IV,arl-8,NA,0.0000,0.0000
WBGene00000193,III,arl-6,-0.8400,0.0000,-1.9795
WBGene00000195,X,arr-1,-0.8591,0.0001,0.1607
WBGene00000196,II,aars-1,-1.3362,0.0008,-6.8978
WBGene00000197,I,aars-2,-1.7023,0.0001,-7.5557
WBGene00000198,II,art-1,-1.1076,0.0000,0.0243
WBGene00000199,I,arx-1,-1.3576,0.0014,-6.2373
WBGene00000200,V,arx-2,-0.8398,0.0000,0.0082
WBGene00000201,III,arx-3,-0.8400,0.0000,0.0081
WBGene00000202,III,exos-4.2,-0.9481,0.0005,0.3009
WBGene00000203,III,arx-5,NA,0.0000,0.0000
WBGene00000204,III,arx-6,-0.5997,0.0005,0.2177
WBGene00000205,I,arx-7,-0.8396,0.0000,0.0082
WBGene00000206,III,asb-1,-0.0234,0.0005,-1.6822
WBGene00000207,X,asb-2,NA,0.0000,0.0000
WBGene00000208,II,asc-1,-0.4445,0.0008,-2.4468
WBGene00000209,I,asg-1,-1.0090,0.0001,0.0477
WBGene00000210,X,asg-2,-0.9093,0.0002,0.0712
WBGene00000211,II,asm-1,-1.3001,0.0003,-7.4305
WBGene00000212,X,asm-2,-0.6267,0.0004,0.6932
WBGene00000213,IV,asm-3,-0.5982,0.0002,0.3100
WBGene00000214,V,asp-1,-1.4502,0.0010,-25.0927
WBGene00000215,V,asp-2,-0.5691,0.0001,0.1448
WBGene00000216,X,asp-3,NA,0.0000,0.0000
WBGene00000217,X,asp-4,-0.3735,0.0006,0.6019
WBGene00000218,V,asp-5,-1.6046,0.0000,0.0489
WBGene00000219,V,asp-6,-0.5113,0.0002,-3.1677
WBGene00000220,II,atf-2,-0.9513,0.0001,-1.6028
WBGene00000221,X,atf-5,-1.0644,0.0005,0.2671
WBGene00000222,X,atf-6,-1.6599,0.0003,-7.3796
WBGene00000223,III,atf-7,-1.4770,0.0000,0.0413
WBGene00000224,IV,atgp-1,-0.2968,0.0011,1.7102
WBGene00000225,II,atgp-2,-0.7898,0.0001,0.0973
WBGene00000226,V,atl-1,-2.0525,0.0001,-8.8318
WBGene00000227,I,atm-1,-1.0808,0.0003,-6.0482
WBGene00000228,V,atn-1,-1.0670,0.0000,0.1076
WBGene00000229,III,atp-2,-1.1156,0.0001,0.0932
WBGene00000230,I,atp-3,-0.9778,0.0001,0.0550
WBGene00000231,III,atx-2,-0.0141,0.0006,-1.2793
WBGene00000232,I,avr-14,-0.8398,0.0000,-1.9794
WBGene00000233,V,avr-15,-0.7818,0.0004,-4.2106
WBGene00000235,III,baf-1,NA,0.0000,0.0000
WBGene00000236,I,bag-1,-1.3457,0.0000,0.0244
WBGene00000237,I,bam-2,-0.6809,0.0008,1.3032
WBGene00000238,X,bar-1,-1.3158,0.0003,-4.1151
WBGene00000239,III,bas-1,-0.5535,0.0002,0.2464
WBGene00000240,II,pah-1,-1.0388,0.0000,0.0408
WBGene00000241,I,bbs-1,-1.7791,0.0002,-1.4741
WBGene00000242,IV,bbs-2,-1.5074,0.0001,0.1511
WBGene00000244,V,bbs-8,-1.3790,0.0001,0.1414
WBGene00000245,X,bca-1,-1.1580,0.0003,0.2195
WBGene00000246,IV,bcc-1,-1.0498,0.0002,-2.8517
WBGene00000247,IV,bec-1,0.4589,0.0005,-0.2580
WBGene00000248,III,ben-1,-1.9464,0.0001,0.0736
WBGene00000249,V,bir-1,-0.8400,0.0000,0.0081
WBGene00000250,V,bir-2,-1.5600,0.0001,-1.8604
WBGene00000251,II,bli-1,-1.7480,0.0004,-10.5871
WBGene00000252,II,bli-2,-1.1925,0.0001,-1.9172
WBGene00000253,I,bli-3,-1.3088,0.0001,-1.6764
WBGene00000254,I,bli-4,-1.6420,0.0002,-4.9468
WBGene00000255,III,bli-5,-0.9014,0.0004,-5.3178
WBGene00000256,IV,bli-6,-1.2868,0.0001,0.1104
WBGene00000257,V,bmk-1,-1.1453,0.0005,-8.3421
WBGene00000259,II,bpl-1,-1.6449,0.0003,-7.5825
WBGene00000262,X,bra-1,-0.2153,0.0019,0.9018
WBGene00000263,III,F23H11.5,-1.1069,0.0001,0.0245
WBGene00000264,III,brc-1,-1.5669,0.0000,-1.9230
WBGene00000265,III,brd-1,-1.8382,0.0001,0.2445
WBGene00000266,IV,bre-1,-1.2175,0.0001,0.0632
WBGene00000267,III,bre-2,-1.7744,0.0007,-10.2584
WBGene00000268,III,bre-3,-0.5518,0.0000,0.0544
WBGene00000269,I,bre-4,-1.9318,0.0002,-1.8102
WBGene00000270,IV,bre-5,-0.1819,0.0005,-0.2344
WBGene00000271,II,brf-1,-0.1605,0.0003,-1.2981
WBGene00000272,I,bro-1,-0.5068,0.0001,0.0614
WBGene00000273,III,brp-1,-0.9996,0.0006,-0.9606
WBGene00000274,II,btf-1,-0.6525,0.0010,-1.8992
WBGene00000275,I,bub-1,-1.3648,0.0001,0.2183
WBGene00000276,III,byn-1,-1.9584,0.0003,-3.3044
WBGene00000277,X,cab-1,-1.3882,0.0003,-5.0138
WBGene00000279,III,cah-1,-0.4271,0.0002,0.1767
WBGene00000280,II,cah-2,0.7253,0.0005,0.2590
WBGene00000281,X,cah-3,-1.3454,0.0000,0.0245
WBGene00000282,X,cah-4,-0.7383,0.0003,-1.7987
WBGene00000283,X,cah-5,-1.2210,0.0005,0.3578
WBGene00000284,I,cah-6,-1.6231,0.0000,0.0411
WBGene00000285,V,cal-1,NA,0.0000,0.0000
WBGene00000286,II,cal-2,NA,0.0000,0.0000
WBGene00000287,IV,cal-3,-1.0742,0.0000,0.0323
WBGene00000288,IV,cal-4,-0.7355,0.0003,0.1896
WBGene00000289,II,cam-1,-1.7367,0.0000,-1.8919
WBGene00000292,IV,cap-1,-0.8175,0.0003,-1.1838
WBGene00000293,II,cap-2,NA,0.0000,0.0000
WBGene00000294,X,cas-1,-1.1586,0.0003,-2.5871
WBGene00000295,X,cat-1,-1.3879,0.0000,0.0733
WBGene00000296,II,cat-2,-1.4599,0.0002,0.2324
WBGene00000298,V,cat-4,NA,0.0000,0.0000
WBGene00000301,IV,cav-1,-1.1230,0.0002,0.1658
WBGene00000302,V,cav-2,-1.3773,0.0006,-1.1366
WBGene00000366,III,cbp-1,-1.8299,0.0001,-1.6885
WBGene00000367,X,cca-1,-1.3141,0.0002,-3.4830
WBGene00000368,I,ccb-1,-1.3455,0.0000,0.0245
WBGene00000369,III,ccf-1,NA,0.0000,0.0000
WBGene00000370,IV,ccg-1,-1.3651,0.0007,-1.8069
WBGene00000371,I,cco-1,NA,0.0000,0.0000
WBGene00000372,II,cyp-13A7,-0.9568,0.0004,0.3233
WBGene00000373,V,cyp-14A5,-1.7489,0.0003,-7.2286
WBGene00000375,II,cyp-44A1,-1.6518,0.0001,-1.8498
WBGene00000376,IV,ccr-4,-1.1727,0.0004,0.1273
WBGene00000377,II,cct-1,-1.1492,0.0001,-3.5744
WBGene00000378,II,cct-2,-1.4572,0.0000,0.0485
WBGene00000379,II,cct-4,NA,0.0000,0.0000
WBGene00000380,III,cct-5,0.2022,0.0002,0.2743
WBGene00000381,III,cct-6,-0.8398,0.0000,0.0082
WBGene00000382,I,cdc-6,-1.7067,0.0001,0.1116
WBGene00000383,II,cdc-14,-1.0130,0.0002,-1.3950
WBGene00000386,I,cdc-25.1,-1.1022,0.0003,-4.7249
WBGene00000387,V,cdc-25.2,-0.4914,0.0012,0.2650
WBGene00000388,III,cdc-25.3,-0.1888,0.0003,0.2101
WBGene00000389,II,cdc-25.4,0.0468,0.0015,-4.7917
WBGene00000390,II,cdc-42,NA,0.0000,0.0000
WBGene00000391,X,cdd-1,-1.0421,0.0001,0.0399
WBGene00000392,IV,cdd-2,-0.8400,0.0000,0.0081
WBGene00000393,X,cdf-1,-1.1020,0.0002,-5.0461
WBGene00000395,III,cdh-3,-1.2280,0.0005,-15.9606
WBGene00000396,III,cdh-4,-1.6545,0.0003,-19.2795
WBGene00000397,IV,cdh-5,-1.4919,0.0001,-4.8289
WBGene00000399,II,cdh-7,-1.2478,0.0005,-1.7838
WBGene00000401,X,cdh-9,-0.2920,0.0003,-0.0263
WBGene00000402,IV,cdh-10,-1.0878,0.0014,-12.7797
WBGene00000403,II,casy-1,-1.5852,0.0000,0.0572
WBGene00000405,III,cdk-1,NA,0.0000,0.0000
WBGene00000406,X,cdk-4,-1.1634,0.0008,0.8908
WBGene00000407,III,cdk-5,-0.7912,0.0000,0.0162
WBGene00000408,I,cdk-7,-1.2674,0.0000,-1.9228
WBGene00000409,I,cdk-8,NA,0.0000,0.0000
WBGene00000410,I,cdk-9,-0.7296,0.0001,0.1103
WBGene00000411,II,cdl-1,-0.6940,0.0000,0.0319
WBGene00000412,V,cdr-1,2.4087,0.0102,-7.3047
WBGene00000413,I,cdt-1,-1.8453,0.0003,-3.4167
WBGene00000414,III,cec-1,-1.2435,0.0001,-1.7638
WBGene00000415,I,ced-1,-1.7424,0.0003,0.7137
WBGene00000416,IV,ced-2,-0.2825,0.0007,-1.4626
WBGene00000417,IV,ced-3,-1.0747,0.0000,0.0322
WBGene00000418,III,ced-4,-0.2200,0.0004,-1.4906
WBGene00000419,IV,ced-5,-1.6699,0.0001,-2.9281
WBGene00000420,III,ced-6,-1.2348,0.0002,0.2458
WBGene00000421,III,ced-7,-1.7578,0.0001,-3.3070
WBGene00000422,X,ced-8,-1.2073,0.0002,-3.4122
WBGene00000423,III,ced-9,-0.9048,0.0004,-1.3947
WBGene00000424,IV,ced-10,NA,0.0000,0.0000
WBGene00000425,III,ced-11,-1.3160,0.0001,0.4340
WBGene00000426,I,ced-12,-0.1762,0.0002,0.0203
WBGene00000427,X,ced-13,-0.2381,0.0017,0.3398
WBGene00000428,X,ceh-1,-0.3701,0.0002,0.0822
WBGene00000429,I,ceh-2,-0.8400,0.0000,0.0081
WBGene00000430,I,ceh-5,-0.9778,0.0001,0.0550
WBGene00000431,I,ceh-6,-0.8298,0.0002,-1.1601
WBGene00000432,II,ceh-7,-1.0396,0.0005,-1.7563
WBGene00000433,I,ceh-8,NA,0.0000,0.0000
WBGene00000434,I,ceh-9,-0.2856,0.0008,0.2619
WBGene00000435,III,ceh-10,-0.3915,0.0002,0.1859
WBGene00000436,I,ceh-12,NA,0.0000,0.0000
WBGene00000437,III,ceh-13,0.0182,0.0002,0.1373
WBGene00000438,X,ceh-14,-0.8400,0.0000,0.0081
WBGene00000439,III,ceh-16,-1.1924,0.0001,0.0705
WBGene00000440,I,ceh-17,-0.8400,0.0000,0.0081
WBGene00000441,X,ceh-18,-1.8106,0.0000,-1.9307
WBGene00000442,IV,ceh-19,-0.9846,0.0002,0.1325
WBGene00000443,III,ceh-20,-1.1860,0.0001,-1.8139
WBGene00000444,X,ceh-21,-0.6389,0.0009,-3.0829
WBGene00000445,V,ceh-22,-1.2068,0.0002,-3.3939
WBGene00000446,III,ceh-23,-0.8800,0.0001,0.0782
WBGene00000447,V,ceh-24,-1.0810,0.0003,-3.4681
WBGene00000448,III,pros-1,-1.7222,0.0001,0.1031
WBGene00000449,V,ceh-27,-0.2370,0.0001,0.1018
WBGene00000450,X,ceh-28,-1.0463,0.0006,-3.0355
WBGene00000451,X,ceh-30,-1.4001,0.0002,-1.8532
WBGene00000452,X,ceh-31,-0.5505,0.0001,0.0546
WBGene00000453,V,ceh-32,-0.9435,0.0000,0.0636
WBGene00000454,V,ceh-33,-0.9756,0.0002,-1.8566
WBGene00000455,V,ceh-34,0.3885,0.0012,-2.9007
WBGene00000457,X,ceh-36,-1.6283,0.0003,-1.7595
WBGene00000458,X,ceh-37,-1.5487,0.0001,0.0725
WBGene00000459,II,ceh-38,-1.1407,0.0000,0.0163
WBGene00000460,X,ceh-39,-0.7228,0.0008,-1.6646
WBGene00000461,X,ceh-40,-0.8995,0.0007,-6.0122
WBGene00000462,X,ceh-41,-1.9105,0.0002,-5.8193
WBGene00000463,III,ceh-43,-1.3457,0.0000,0.0244
WBGene00000464,III,ceh-44,-1.5390,0.0005,-5.5853
WBGene00000465,III,cpg-1,-0.5186,0.0004,0.5604
WBGene00000466,I,cel-1,-1.3403,0.0000,0.0261
WBGene00000467,I,cep-1,-1.0074,0.0002,-3.4621
WBGene00000468,I,ces-1,NA,0.0000,0.0000
WBGene00000469,I,ces-2,-1.5114,0.0001,-1.8174
WBGene00000472,II,cey-1,-0.5068,0.0001,0.0614
WBGene00000473,I,cey-2,-0.8394,0.0000,0.0082
WBGene00000474,I,cey-3,-1.2167,0.0001,0.0634
WBGene00000475,III,cey-4,-1.1407,0.0000,-3.9591
WBGene00000476,I,cfi-1,-1.5291,0.0001,0.1408
WBGene00000477,V,cft-1,-1.8985,0.0001,0.3005
WBGene00000478,V,cfz-2,0.5110,0.0020,-4.4824
WBGene00000479,III,cgh-1,-0.8400,0.0000,0.0081
WBGene00000480,V,cgp-1,-1.8379,0.0001,-9.6114
WBGene00000481,IV,cha-1,-1.4618,0.0004,-2.2560
WBGene00000482,X,chd-3,-1.2360,0.0002,-6.6328
WBGene00000483,I,che-1,-0.6724,0.0002,-1.6189
WBGene00000484,X,che-2,-1.2489,0.0003,-6.2905
WBGene00000485,I,che-3,-1.9678,0.0001,-12.7470
WBGene00000487,IV,che-6,-1.1697,0.0008,-8.9944
WBGene00000488,V,che-7,-1.3188,0.0000,0.0327
WBGene00000490,V,che-11,-1.2566,0.0002,-2.1173
WBGene00000491,V,che-12,-1.7618,0.0001,-7.0852
WBGene00000492,I,che-13,-2.1262,0.0002,-3.7824
WBGene00000493,I,che-14,-0.6370,0.0001,-3.5794
WBGene00000496,I,chs-1,-1.6396,0.0001,-1.6716
WBGene00000497,II,chs-2,-1.6495,0.0001,-1.6169
WBGene00000498,V,chk-1,-1.6576,0.0001,-1.9066
WBGene00000499,V,chk-2,-0.7378,0.0004,0.2143
WBGene00000500,I,chn-1,NA,0.0000,0.0000
WBGene00000501,IV,cho-1,-0.9492,0.0001,-1.3476
WBGene00000502,I,chp-1,-1.1407,0.0000,0.0163
WBGene00000503,X,cht-1,-1.5997,0.0001,0.1675
WBGene00000506,III,cic-1,-1.1414,0.0001,0.0853
WBGene00000507,III,cit-1.1,-1.4787,0.0000,0.0406
WBGene00000508,III,cit-1.2,-0.8398,0.0000,-1.9794
WBGene00000509,IV,cka-1,-0.8398,0.0000,0.0082
WBGene00000510,X,cka-2,-1.0731,0.0000,0.0326
WBGene00000511,III,ckb-1,-1.4035,0.0003,-3.3985
WBGene00000512,III,ckb-2,-1.3732,0.0002,-1.5314
WBGene00000513,III,ckb-3,-1.0161,0.0004,-3.0928
WBGene00000514,V,ckb-4,-1.7067,0.0004,0.3720
WBGene00000515,X,ckc-1,-1.6489,0.0003,-3.4436
WBGene00000516,II,cki-1,NA,0.0000,0.0000
WBGene00000517,II,cki-2,0.4311,0.0010,0.4916
WBGene00000518,III,ckk-1,-1.4346,0.0000,0.0566
WBGene00000519,III,cku-70,-1.0469,0.0007,-3.4252
WBGene00000520,III,cku-80,-1.1625,0.0005,-4.1576
WBGene00000521,V,cky-1,-1.2090,0.0001,-3.7221
WBGene00000522,X,clc-1,-0.8400,0.0000,0.0081
WBGene00000523,X,clc-2,-1.4999,0.0000,-1.9547
WBGene00000524,X,clc-3,-1.1906,0.0001,0.0717
WBGene00000525,X,clc-4,-0.8400,0.0000,0.0081
WBGene00000526,X,clc-5,-0.5453,0.0009,-0.0103
WBGene00000527,I,cle-1,-1.3097,0.0003,-8.0355
WBGene00000528,II,clh-1,-1.2938,0.0000,0.0403
WBGene00000529,II,clh-2,-1.1916,0.0000,-1.8179
WBGene00000530,II,clh-3,-1.3395,0.0002,0.6184
WBGene00000531,X,clh-4,-1.5183,0.0001,-1.3334
WBGene00000532,II,clh-5,-1.3408,0.0002,-1.6259
WBGene00000533,V,clh-6,-0.9197,0.0002,-0.7608
WBGene00000534,V,cpi-2,-0.9133,0.0002,0.0698
WBGene00000535,IV,cpi-1,-0.7581,0.0003,-1.7020
WBGene00000536,III,clk-1,-0.0720,0.0008,0.2729
WBGene00000537,III,clk-2,-0.0948,0.0004,-1.1504
WBGene00000539,V,cln-3.1,-1.2587,0.0001,0.1197
WBGene00000540,I,cln-3.2,-0.6938,0.0001,-1.6358
WBGene00000541,V,cln-3.3,-0.7314,0.0004,-6.9121
WBGene00000542,III,clp-1,-0.3540,0.0006,-1.8380
WBGene00000543,III,clp-2,-1.4473,0.0003,-2.4309
WBGene00000544,I,clp-3,-2.0386,0.0001,0.2715
WBGene00000545,III,clp-4,-1.4497,0.0004,-6.2554
WBGene00000546,IV,clp-6,0.0888,0.0036,-5.6411
WBGene00000547,IV,clp-7,-1.9366,0.0004,0.4717
WBGene00000548,II,clr-1,-1.0859,0.0002,-3.4088
WBGene00000549,III,cls-2,-0.8707,0.0002,-1.4863
WBGene00000550,III,clu-1,-0.6851,0.0001,-0.3512
WBGene00000551,IV,clx-1,-1.1247,0.0003,-1.3460
WBGene00000552,V,cmd-1,NA,0.0000,0.0000
WBGene00000553,IV,cmk-1,-0.8400,0.0000,0.0081
WBGene00000554,V,cnb-1,NA,0.0000,0.0000
WBGene00000555,V,cnc-1,-0.8398,0.0000,0.0082
WBGene00000556,V,cnc-2,-0.8574,0.0008,0.1627
WBGene00000557,V,cnc-3,NA,0.0000,0.0000
WBGene00000558,V,cnc-4,-1.1406,0.0004,0.0860
