WBGene00000018,abl-1
WBGene00019100,F59B1.8
WBGene00019101,F59B1.10
WBGene00019119,F59E12.3
WBGene00019164,H06H21.8
WBGene00019190,H12I13.1
WBGene00019321,K02E10.7
WBGene00019362,cdk-2
WBGene00019459,K06H7.8
WBGene00019556,K09C6.2
WBGene00019561,K09C6.7
WBGene00019562,K09C6.8
WBGene00019599,acds-10
WBGene00019642,K11C4.1
WBGene00019665,K11H12.9
WBGene00019698,riok-1
WBGene00019769,M04F3.3
WBGene00019801,aak-1
WBGene00019814,R02C2.1
WBGene00019815,kin-34
WBGene00019817,txt-2
WBGene00019911,R06A10.4
WBGene00020003,R11E3.1
WBGene00020071,R13H9.5
WBGene00020072,R13H9.6
WBGene00020106,R151.1
WBGene00020131,gcy-28
WBGene00020142,aak-2
WBGene00020223,T05A7.6
WBGene00020289,T06C10.3
WBGene00020324,T07F12.4
WBGene00020435,T11F8.4
WBGene00020504,svh-2
WBGene00020531,T15B12.2
WBGene00020580,T19D12.5
WBGene00020659,T21G5.1
WBGene00020678,T22B11.4
WBGene00020966,W03A5.1
WBGene00021012,pig-1
WBGene00021016,W03G9.5
WBGene00021022,W04B5.5
WBGene00021109,W09C3.1
WBGene00021214,hasp-2
WBGene00021315,Y32H12A.7
WBGene00021461,nekl-1
WBGene00021567,Y45G12C.4
WBGene00021635,Y47G6A.5
WBGene00021639,Y47G6A.13
WBGene00021745,Y50D4B.6
WBGene00021753,Y50D7A.3
WBGene00021793,Y52D5A.2
WBGene00022032,Y65B4A.9
WBGene00022102,Y69F12A.1
WBGene00022108,Y71F9AL.2
WBGene00022228,Y73B6A.1
WBGene00022519,ZC123.4
WBGene00022603,gck-2
WBGene00022613,sek-3
WBGene00022631,nekl-2
WBGene00022632,ZC581.2
WBGene00022634,ZC581.7
WBGene00022635,ZC581.9
WBGene00022670,ZK177.2
WBGene00022705,ZK354.2
WBGene00022707,ZK354.6
WBGene00022780,ZK622.1
WBGene00044281,R04A9.7
WBGene00044388,C27D6.11
WBGene00044501,C55C3.8
WBGene00077712,nipi-4
WBGene00138717,F52C12.6
WBGene00185089,C16A11.10
WBGene00195081,C04F6.7
WBGene00235269,F59E12.15
WBGene00304811,E02D9.3
